epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,755.427,0.8713,0.5998,0.01567,0.84268,0.9178,0.82945,0.51976,1.54192,0.82469,0.03898,0.000370312,0.000370312,0.000370312
112,762.049,1.09083,0.78846,0.02094,0.84159,0.92857,0.82513,0.52306,1.46846,0.82557,0.03691,0.000358524,0.000358524,0.000358524
113,768.033,0.98094,0.64504,0.01788,0.84159,0.92857,0.82513,0.52306,1.46846,0.82557,0.03691,0.000346736,0.000346736,0.000346736
114,774.27,1.16815,0.88935,0.03099,0.83234,0.92857,0.82193,0.54676,1.38815,0.8147,0.03442,0.000334948,0.000334948,0.000334948
115,781.116,0.90057,0.61001,0.01453,0.83802,0.92311,0.8229,0.56558,1.27858,0.83803,0.03106,0.00032316,0.00032316,0.00032316
116,788.187,0.84235,0.50054,0.01379,0.78338,0.85714,0.80891,0.57696,1.19299,0.91086,0.0283,0.000311372,0.000311372,0.000311372
117,794.824,0.92829,0.82548,0.01563,0.78338,0.85714,0.80891,0.57696,1.19299,0.91086,0.0283,0.000299584,0.000299584,0.000299584
118,801.24,1.06075,0.6085,0.01847,0.85863,0.84641,0.81641,0.5661,1.22346,0.87092,0.02987,0.000287796,0.000287796,0.000287796
119,806.737,0.88312,0.55616,0.01364,0.86448,0.85461,0.82125,0.56989,1.22737,0.84114,0.03017,0.000276008,0.000276008,0.000276008
120,811.793,0.98374,0.5528,0.01476,0.83528,0.9187,0.83125,0.56901,1.22522,0.80316,0.03009,0.00026422,0.00026422,0.00026422
121,817.492,0.87432,0.57577,0.01532,0.83528,0.9187,0.83125,0.56901,1.22522,0.80316,0.03009,0.000252431,0.000252431,0.000252431
122,823.365,0.94736,0.66423,0.01521,0.8578,0.84945,0.82125,0.55864,1.20544,0.80972,0.02968,0.000240643,0.000240643,0.000240643
123,828.902,0.9342,0.653,0.01667,0.8422,0.92088,0.83563,0.56984,1.21289,0.78554,0.02962,0.000228855,0.000228855,0.000228855
124,833.852,0.87441,0.60106,0.01627,0.83465,0.92073,0.83125,0.57644,1.2111,0.77492,0.02926,0.000217067,0.000217067,0.000217067
125,838.607,0.92936,0.5289,0.01666,0.83465,0.92073,0.83125,0.57644,1.2111,0.77492,0.02926,0.000205279,0.000205279,0.000205279
126,843.384,0.9042,0.6571,0.01419,0.82643,0.91998,0.83563,0.5873,1.21823,0.79842,0.02969,0.000193491,0.000193491,0.000193491
127,848.226,0.9367,0.61549,0.01445,0.84191,0.85714,0.81579,0.56746,1.24635,0.90663,0.03123,0.000181703,0.000181703,0.000181703
128,853.174,0.88873,0.64913,0.0182,0.85892,0.87747,0.82785,0.57217,1.28648,0.82841,0.03237,0.000169915,0.000169915,0.000169915
129,858.736,0.8898,0.95908,0.01352,0.85892,0.87747,0.82785,0.57217,1.28648,0.82841,0.03237,0.000158127,0.000158127,0.000158127
130,864.469,0.79696,0.59791,0.01277,0.8576,0.92312,0.82396,0.56603,1.30802,0.83003,0.03308,0.000146339,0.000146339,0.000146339
131,881.928,0.87524,0.43041,0.02853,0.85046,0.92857,0.86477,0.58366,1.32335,0.7997,0.03348,0.000134551,0.000134551,0.000134551
132,887.111,0.82004,0.43016,0.02279,0.85378,0.9231,0.86583,0.58556,1.29137,0.83701,0.03237,0.000122763,0.000122763,0.000122763
133,891.932,0.65241,0.47034,0.01762,0.85378,0.9231,0.86583,0.58556,1.29137,0.83701,0.03237,0.000110975,0.000110975,0.000110975
134,896.821,0.62861,0.41953,0.01997,0.85884,0.91517,0.86583,0.58811,1.27161,0.82187,0.03145,9.91865e-05,9.91865e-05,9.91865e-05
135,902.346,0.72502,0.44013,0.02094,0.85807,0.92857,0.86972,0.5894,1.27362,0.80693,0.03141,8.73984e-05,8.73984e-05,8.73984e-05
136,907.45,0.61566,0.63527,0.01663,0.84931,0.92659,0.83125,0.56958,1.28392,0.80334,0.03156,7.56104e-05,7.56104e-05,7.56104e-05
137,912.766,0.69628,0.42034,0.01808,0.84931,0.92659,0.83125,0.56958,1.28392,0.80334,0.03156,6.38223e-05,6.38223e-05,6.38223e-05
138,918.72,0.73342,0.39195,0.01815,0.83423,0.91766,0.83125,0.57004,1.28867,0.81095,0.03158,5.20342e-05,5.20342e-05,5.20342e-05
139,924.296,0.61941,0.42699,0.01657,0.83685,0.91702,0.83125,0.55446,1.29674,0.80025,0.03183,4.02461e-05,4.02461e-05,4.02461e-05
140,929.729,0.52318,0.30575,0.01459,0.83452,0.91696,0.83563,0.55759,1.29143,0.79653,0.03155,2.84581e-05,2.84581e-05,2.84581e-05
