epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,607.829,0.77432,0.46077,0.01354,0.82166,0.98366,0.95375,0.63638,1.19646,0.46457,0.03012,0.000159699,0.000159699,0.000159699
139,612.563,0.84772,0.49797,0.01682,0.82413,0.9852,0.95375,0.63801,1.18479,0.47147,0.03017,0.000148696,0.000148696,0.000148696
140,617.391,0.69763,0.38653,0.01223,0.82867,0.98462,0.95375,0.64468,1.16302,0.47391,0.02974,0.000137694,0.000137694,0.000137694
141,630.485,0.95378,0.50534,0.03269,0.82867,0.98462,0.95375,0.64468,1.16302,0.47391,0.02974,0.000126692,0.000126692,0.000126692
142,635.408,0.8431,0.6236,0.0277,0.85347,1,0.95375,0.6517,1.13037,0.42471,0.0291,0.00011569,0.00011569,0.00011569
143,640.539,0.5886,0.31072,0.01721,0.84154,0.97651,0.995,0.68885,1.11581,0.4364,0.02905,0.000104688,0.000104688,0.000104688
144,645.359,0.6589,0.51832,0.02038,0.84377,1,0.995,0.6915,1.12393,0.41679,0.02965,9.36854e-05,9.36854e-05,9.36854e-05
145,649.532,0.74244,0.39139,0.02087,0.84377,1,0.995,0.6915,1.12393,0.41679,0.02965,8.26832e-05,8.26832e-05,8.26832e-05
146,653.939,0.67618,0.44575,0.02127,0.83944,1,0.995,0.70561,1.11727,0.40881,0.0295,7.1681e-05,7.1681e-05,7.1681e-05
147,658.32,0.6256,0.4278,0.01723,0.77151,1,0.98625,0.70435,1.12255,0.43515,0.02984,6.06788e-05,6.06788e-05,6.06788e-05
148,662.585,0.59649,0.31391,0.01697,0.78267,0.96931,0.96875,0.68762,1.1293,0.48215,0.03005,4.96766e-05,4.96766e-05,4.96766e-05
149,666.72,0.65176,0.39708,0.01835,0.78267,0.96931,0.96875,0.68762,1.1293,0.48215,0.03005,3.86744e-05,3.86744e-05,3.86744e-05
150,670.924,0.58351,0.33009,0.01671,0.77963,0.97844,0.9775,0.69173,1.11712,0.48069,0.02976,2.76722e-05,2.76722e-05,2.76722e-05
